@relation categoria
@attribute texto string
@attribute class string
@data
así se vio el terremoto en el sismógrafo http://twitpic.com/15lylf,None
se termina el doming,None
el sismo de 1985 tirÓ edificios pero construyÓ sociedad. estos terribles eventos naturale,None
rt @heyitsbaarbie: jodeme qe lo qe tanto qieren decir los jonas es la pelicula jona,None
rt @mlorca: http://twitpic.com/163360 - #rptw  nino de 7 años desaparecido en pelluhue. su nombre es ,None
esperando y confiando en un poder superior.,None
era hora que la  ff.aa se hagan presentes para detener los actos delictuales y de oportunismo que se presentan en las zonas de catastrofe.,Seguridad
fuerte sismo y corto de uno 4° ahora en curico @tvn_mauricio #rptw @halconmatinal,None
@halconmatinal porfavor info para valpo y viñ,Comunicación
rt @donare: chile solidario: familia ayuda desinteresadamente a conductores a llegar al sur http://is.gd/9rfx3,None
rt @anahi: todas las entradas y todo el concierto en metropolitan sera para chile. los espero ahi 25 marzo. chile estoy (cont) http://tl ...,None
ya paso todo... es increible como empiezan  a aparecer la desesperación sin el vital elemento del agu,None
rt @chuqui: me informan que en isla mocha tienen serios problema,Comunicación
@tele13online tienen info sobre el sector de aculeo y pintué?,Comunicación
rt @biobiodeportes: enfrentamientos armados en la octava región durante la noche de toque de queda...,Seguridad
grupos armados y pdi chilena se enfrentan tras intentos de saqueo en san pedro de la pa,Seguridad
lista de farmacias ahumada abiertas en todo el país http://bit.ly/cqrbeb #terremotochile #chile,None
@simonhodges #terremotochile fue 8.8 en el epicentr,None
rt @fernandopaulsen: rt @jpcampanor    hay saqueos en talca. pandilla de 30 personas saquendo casas.  informa radio paloma online.,Seguridad
@crazyclau animo con las replicas ke a mi me tocaran en el piso 22!! anoxe me toco donde mis viejos pero el lunes : (,None
@iamfabu yo pense que era un temblor normal... cuando cache las imagene,None
suministro electrico para pedro de valdivia temuco,Electricidad
rt @wayoo15: #terremotochile #24 #rptw por favor necesito informacion urgente sobre juan tapi,Personas
rt @ekita_sempai: urgente en el pueblo de tirua hubo tsunami!(cerca de puerto saavedra,Comunicación
rt @victoria1039fm: firma apoyando a victoria fm en la sede de la estaciÓn y en el cnp aragu,None
expliquenlo rt @trukit0: hice funcionar el cell descargado usando la linea de telefonia fija como fuente de energia :d #geek #terremotochile,Electricidad
en gdl noticias están hablando del terremoto en chile :x,None
@tvn_mauricio hay noticias de chillan solo han mostrado conce y talca,None
rt @eliagp: #sebusca #terremotochile  #buscapersonas #chile se busca a mirta garrido y familia en florid,Personas
onemi entrega recomendaciones para  el regreso al trabajo http://bit.ly/cts2pt #terremotochile #e10,None
buenos días chilito.. cómo está todo por allá hoy?,None
un pdi de conce  me informó que la playa de ratmuncho estaría bien. rt para tranquilizar a familias de desaparecidos #terremotochile,None
#chile rt @skatcharlie: ayuda: en la comuna de navidad (donde estuve) estÁ completamente aislada por el tsunami y puentes cortad ...,None
buenos días!!! vamos viendo como salimos en dirección a santiago,None
rafael donoso: tengo 4000 lt diarios de leche en los angeles para regalar necesito camión apto para transportarla 02-2173603 @ejercito_chile,None
@jocker_lfc supe que su casa sufrio grandes daños porq vivia alado cerca a la playa. ahora esta en curicó,Personas
"rt @ricky_martin: ""quiero volver a tener 2 años y ser tan ingenuo como para pensar que si estoy content ",None
siguen algunas replica,None
rt @felipefreakout: @stark se sienten disparos por el 10 de pajarito,None
rt @tele13online: confirman sismos en japón y filipinas grado 5.2 en escala de richter.,None
mimos desde ecuador a todos los chilenos. fuerza y lo que necesiten digan! #terremotochile htt.. http://bit.ly/bckolo,None
@lacuarta mañana en primera plana la cara de los ladrones...,None
rt @epiccolorado: para reportar una necesidad tweet en formato: #chile #necesita [lista de necesidades] #sitio [localidad] #número [núme ...,None
i uploaded a youtube video -- boris- poesía desconectada - de la internet al p@pel http://youtu.be/f72onz4rego?a,None
"rt @carolinamillan: reporten este grupo en #facebook http://carom.es/fcbk ""terremoto tendria que haber matado a todos los chilenos"" ",None
rt @innovaciontecho: dólar cierra estable tras caída inicial por especulaciones *** rt por favor *** para no seguir especulando y manten ...,None
"senador chileno alejandro navarro: ""necesitamos la ayuda venga de donde proveng ",None
4500 efectivos mas para conce ....lo dijo vidal..ojo no es sólo conce el problema son muchos lugares mas,None
rt @maxcolodro: turba se toma municipalidad de hualpén..,Seguridad
rt @jonathanperl: @adnradio busco a evelyn vergara (19 aÑos) y a su hijita amanda (5 meses,Personas
rt @mckrena: rt @phettexs: toque de queda 24 hrs en todo bio bio ya!!! pidamos al gobierno en masa x favor!!! rt masivo ahora,Seguridad
plaza frente parroquia sto toribio (del inca c/ capitania) grupo scout manqueman reune cosas para afectados. llamar a 9-5091658,None
@jocelo_cómo está todo jose??????espero que bien tu y tu familia,Personas
@eljojo instituto santa maría?? se ve bien por fuera. aranjuez? no cacho cual es,None
rt @nadaqueaportar: rt @guuu_hrubio: me comunican por telefono que en lampa estan saqueando casas por favor  ayuda ! rt,None
alguien me puede confirmar...si los sakeos a casas en conce pasaban desde antes o despues de las declaraciones de la alcaldesa?,Seguridad
rt @anahi: les pido con mi corazon q apoyen a la gente en chile. esta todo muy mal necesitan agu,None
necesito salir de osorno hacia stg,None
#fuerzachile,None
rt @domispiniak: que dejen de decir que lan se hace cargo y nos esta ayudando. a nosotros nos tienen botados en sao paulo sin ninguna in ...,None
@pequefran tienes noticias de curanipe?,None
pensamientos positivos - profesor santiago pazhín http://bit.ly/9rdeoq,None
cancelan two and a half men por las locurras de charlie sheen #panama http://bit.ly/brjcz5,None
rt @delgol cancelan por terremoto amistosos de chile con costa rica y corea del norte. http://bit.ly/bne1hv,None
rt @leylanoma: @dynation encontraron en curanipe a 80 personas con vida en albergues. aqui está la list,None
quien es la vieja cuica y weona que ta hablando en el chv? por dios! #terremotochile,None
#happybirthdayjustin veo eso en tt & recuerdo cuando le cante con la vela que alumbraba mi casa,None
rt @neapax: @tele13online no se olviden de la región de o higgins por favor. en los medios se saltan de la rm a la del maul,Comunicación
después del terremot,None
lunes 22 a las 9 de la noche quieren apagar las luces:// a sanz y toda su banda de nacos,Electricidad
rt @alvaroportales: a ver si difunden como loquitos esta foto de cusco...asi como hicieron con las de ridiculos tsunamis. http://ow.ly/1ctrl,None
rt @tele13online: http://twitpic.com/162m7l - puente lago rapel. foto enviada por juan muñoz.,None
@marielrubio igual que el mercurio no más.. viven en el mismo barrio,None
en antofagasta necesitamos contacto radial con las zonas afectada,Comunicación
:o noo s m acabo la plata del celu,None
alcalá simplifica la concesión de licencias de apertura para fomentar el empleo http://bit.ly/9mp8n0,None
todo bn luego del terremoto!!,None
no lo puedo creer! acaba de llover :s ...,None
@incon3xo qué sabes de puerto saavedra?? mi hermana está allá!!,Comunicación
@tvn24h tembló en compañia minera cerro colorad,None
@copano la iglesia sólo recolectará fideo,None
@13ar por favor hablen de tomé!,None
rt @m_martinn: @nadaseralomismo hostname.cl se puso con minutos de telefonia ip para la gente que necesite comunicarse y no pueda. rt plz,None
www.reportwitteros.cl #rptw busco valentina valedebenito de 8 años. #penco. los padres están desesperados!!!!,Personas
@cristalvanny solo fueron unas gotas locas nada más...,None
rt @turbuschile: actualizado: se normalizan servicios de buses a las zonas norte y centro de chile http://alturl.com/hk3i,None
rt @miguelpaz: murió pablo desborde,Personas
hola tuiters como estan? yo aqui haciendo mi primer reporte post terremot,None
@copano se busca a ana maria escobar sanhueza y daniel escobar sanhueza en concepcio,Personas
santiago de león mejor delegación simun 2010!! :),None
mi hermana que vive en londres me informa que lo que mas se informa alla de #terremotoenchile es sobre los saqueos a los supermercados...,Seguridad
rt @littlefru: en chovellen sólo se calló la casa de la sra. olga y no hay fallecidos!!! pueden estar tranquilos #peuño #curanipe,Comunicación
rt @sugarexcess: los jota be rockean mi mundo,None
se vendia solo $5000 en bencina,None
rt @alecs17 a mí sí me gusta la tauromaquiau2026 ¿qué les parece si concentramos nuestra indignación hacia los atentados contra seres humanos?,None
se busca en concepcion a marisel arenas gome,Personas
@tvn_mauricio sera cierto q un pasaje en lan desde el viernes a hoy subio a 144.000 ??? necesito confirm hija atrapada en valdivia,Comunicación
rt @diegovb: @ayudachile2 @copano formulario y lista no-oficial de personas fallecidas en chil,None
@anyu2 comunicate con la cruz roja,None
chile  se decreta triangulo de silencio en edif borderio en conce... escucharon ruido en piso 6. hay esperanza de vida,None
rt @tvn24h: colegio mÉdico: pide ayuda de médicos voluntarios para reforzar atención en zonas más afectadas por #terremotochile #24h,None
rt @leoprieto recuerden: abran su wifi para ayudar a los vecinos que no tengan internet en su casa a comunicarse. #terremotochile,None
@sibekay gracias por la ayud,None
rt @copano: urgente: ya no estan recibiendo donadores de sangre en hospital metropolitano ni tampoco en la posta central. rt a todos.,None
devolviendo el follow a @gabboweon =),None
@chilquintaplease no olvidar la peticion  para la repocicion de la luz en calle proyectada,None
rt @muchachurris es cierto esto? guendelman junten agua. corte general en santiago a las 16.00! / yo tb quiero saber!,Agua
rt @baradit: van ryselberger (no se cómo se escribe) es una histérica que promueve el caos y el pánico. imbécil.,None
rt @cristianvega88: intendente los rios confirma inicio de clases mínimo para el 8/03 #terremotochile #valdivia,None
@muchogustomega en dichato se necesita info de!: liria agüero agüero y eduardo sotomayor calixsto.... población santa alicia. sobre 90 años,None
#rptw necesito información de cristian muñoz y familia de curanilahue.muertos heridos sin h2,Personas
"rt @waterminder: ¿se acuerdan cuando criticaron a los curas cuando hablaban de ""crisis moral""? buen ",None
rt @ejercito_chile: regimiento reforzado nº 7 u201cchacabucou201d ha apoyando la elaboración de catastros para la onemi en el sector de dichato.,None
rt @tigre_de_papel: tuiteros: en nuestros dedos está cambiar el ánimo del timeline. hay otros canales para info dramática. transmitan in ...,None
rt @matiasdelrio: temblores minuto a minuto en el mundo: http://earthquake.usgs.gov/earthquakes/recenteqsww/quakes/quakes_big.php,None
necesitamos saber de la familia parada muñoz en concepcion #rptw,Personas
rt @pazgonzalezm: hillary clinton llevarà a chile asistencia para reestablecer las comunicaciones de nuestro paìs.,None
quillota: banamor en alianza con cruz roja de quillota y la omj iniciaron campaña para ayudar a los damnificados del sur. (via @vanespc),None
rt @inti_illimani: rt: @yackypeters: nadie responde a mi voluntad de ayudar.... tengo camion disponible para llevar ayuda desde copiapo  ...,None
rt @fabiansour: terremoto en chile cambió el eje de la tierra acortando el día http://bit.ly/cszehn,None
@vitoko el num 1 en localizacion era lo chistoso pq era de coyhaique!!,None
@polloenconserva  quiero avisar que paillaco(r. de los rios) esta sin ningun daÑo gracias a nuestro dio,None
#terremotochile para donar sangre en región metropolitan,None
radio comunicaciones u2022 re: felicitaciones a los lu con papeles !!!!: y llevate una lapicera alu2026 http://goo.gl/fb/8hzw,None
gracias a todas las chicas que han mostrado su apoyo por chile (:,None
pingüino multimedia te acompaña las 24 horas con las noticias al instante. escúchanos en el 590am y 96.9f,None
me informan desde chile que juan carlos bodoque está bien.,Personas
@motonetas jajajajaja a rio revuelto ganancia de pescador,None
rt @soledadonetto: me acaba de parar una señora en carretera que venia escapando de saqueos en talca. del horror,Seguridad
tomando unos teres con el rengo!.,None
juntos podremos superar este duro momento que nos toca.,None
@drestuccia estoy de acuerdo. pero cmo puedes pedir tranquilida,None
el municipio esta realizando un catastro para cuantificar daños y saber como y de que forma ayudar #angol #terremotochile,None
@reportwiteros buscador de personas por el terremot,None
"rt @tvn24h: dichato: hay 3 albergues en #dichato. necesitan frazadas y alimentos básicos. ""hay 12 fallecidos"" carabineros de #dichato ",None
rt @maiteshow: rt @diariolahora ningún desaparecido ni muerto despues de tsunami dentro de la base naval de talcahuano y asma,None
#rptw por favo,None
comunicado oficial de umayor difundir porfa!! http://www.diariomayor.cl/v2/index.php?option=com_content&view=article&id=840,None
google pone a disposición un enlace para ayudas o colaboración con damnificados chilenos en su pag de inicio.,None
@jeesssik no es gracioso... es triste... =´(,None
@dmoficial dulllllllllllllll como estas mañana es m cumpleeeee espero tu cd ya quiero tenerlo te mando mucha luz desde argentna,None
@edobass asi parece en que parte estas tu de chile...,None
rt @natiguzmann: info desde la playa de los enamorados en niebl,None
@madridconce qué es lo que quieres saber? es mucha la información.,None
rt @ejercito_chile: nuevo comunicado oficial http://is.gd/9tlet se incrementa el despliegue del ejército en zonas afectadas,None
@13ar saqueo generalizado en hualpen..ayuden a esa gente!!!!!!..,Seguridad
el lider del barrio ingles esta abierto y vendiendo #temuco,None
@carolafuentes sin bomberos los incendios serán el futuro inmediato. saqueando cosas luego sera el miedo el rey,Seguridad
rt @maurorocknroll: @mxperez las autoridades locales no pueden controlar el desorden y caos de concepcio,Seguridad
@fabriziocopano necesito información de parral. luis soto vivar !!! #terremotochile,Comunicación
alguien sabe de @naibyl  es de conce !,None
aqui http://tinyurl.com/yjzoy68 varios portales en donde requieren ayuda y buscan voluntarios (via @educacion2020),None
rt @makkkita: porfavor ayuda para chiguayante digan lo k esta sucediendo de verdad aun no tienen luz ni agua . los ladrones amenazan con ...,None
rt @mgsubercaseaux: rt @la_segunda: anuncian cierre de hospitales félix bulnes y el peral por daños estructurales. http://bit.ly/brodpo,Seguridad
señor bendito protege a chile y en estos momentos dificiles virgen cubre a ese país con tu manto protector!!!,None
rt @farandulamexico: anahi se encuentra en estos momentos en viñ,None
@dmoficial holaa... dul desde chile te mndamos muchos besos estamos bn en santiago d apoco volviendo a la normalidad,None
rt @notiven: rt: @juangaranton :el temblor de los caraqueños no es de origen telurico,None
voy por mis pastilla,None
@trincadoofsolar yo lo quiero pero he intentado 2 veces y me dice error.,None
y pa colmo ... @crazyclau se pone a ver a sonata arctica...... replica,None
"el edificio que esta en terra.cl con el titular ""ciudad empresarial colapsa ante terremoto"" era donde estaba mi agencia : ( ",None
rt @tvn_mauricio: en vivo informamos por primera vez en directo desde dichato. impresionante destrucción.,Comunicación
rt @nicolaslopez: rt @nicolenatalino: nofx realizará hoy un show extra en argentin,None
@tvn_juancarlos  gracias,None
@tintayel estamos bie,None
en chillán hay reposición de agua y luz al menos en 50%,Agua
esperando que mañana se pueda regresar al sur y así poder volver a valdivi,None
http://bit.ly/9ynrjx chile en el ojo del huracan.,None
alguien sabe de algun numero de emergencia de arauco,None
@italiano947q triste esta lo d chile pa tambien como da~aron lo q dios dio para q la humanidad viviera bien. pero esto lo vamos areglar todo,None
yo le hago rt a casi todo xd a si qe no me digan leseras xd,None
se busca a hernan manuel varas robledo en pullehue #terremotochile  #chile porfa rt (via @lunalatuf),None
@ceciliarod como llegaste a ellos?? tienes algun contacto?,None
y el maule siendo la región más afectad,Comunicación
"@srmolina2010 acabo de verla. ayer tb vi rt que partían diciendo ""junten agua"" ninguno fue cierto. eso es ser mala gente y sembrar pánico. ",None
@reportwiteros hoy a las 17.00 hrs en la plaza de quilpu,None
chile está recolectando alimentos no perecibles en el seminario pontificio menor en padre errázuriz 7001. http://bit.ly/as5xko,None
@ejercito_chile informan familiares de concep. vía telefono fijo hordas desde teniente merino vendrían a saquear casas en busca de comida,None
@mxperez hola monica me gustaria saber que es lo que ocurre en concepción especificamente en san pedro de la paz no se si tienen luz o agua!,Comunicación
rt @nachadebieber: querido don francisc,None
patrmari1@reportwiteros que lan de información sobre vuelos hacia isla de pascua y desde guayaquil que contesten teléfonos,None
rt @copano: desde las 20 horas hasta mediodia de mañana adelantan toque de queda.,Seguridad
rt @sociocali: no es distracció,None
@humonegro por qué no funciona?,None
rt @carolafuentes: tanquetas recorrieron concepcion y un centenar de personas las aplaudieron de pi,None
por favo,None
rt @daguiler: campaÑa por una cuenta twitter pa la presidenta y asi lea el minuto a minuto... (via @vicheaux)/+1000 #terremotochile,None
@conanslew a todo esto menos mal que estás bien,Personas
rt @acordiviola: don francisco hará este viernes teletón chile ayuda a chile... van por 15mil millones de pesos! http://tinyurl.com/yggy ...,None
rt @cruzrojainforma: donaciones de artículos de aseo consistirán en jabone,None
muere una persona por un balaz,None
rt: @nadaseralomismo: rt @stark: #terremotochile: donaciones: cruz roja viña del ma,None
@tvn_mauricio urgente: familia veyl quinteros / laja - hijos en concepcion nicol,None
@itscaaaro mi hermano odia usa y critica a obama (?) enserio siempre me dice ese tonto no hace nada :|,None
por fin me comunike con mi familia ,None
@valecitadychile lolz nooo nooooo noooo quierooo esooo!!vennn pakaaaa,None
@ivanvalenzuela: ya se sabia desde el 2007!!!! http://bit.ly/ak1h9t,None
@matiasasun http://ceeuch.blogspot.com/2010/02/terremoto-situacion-companeros-e.html ahi sale algo mas,None
@tvn_mauricio revisar noticias minuto a minuto en http://blog.budowebs.net,None
rt @karito_c3: en canal13 noticias de #pelluhue,None
"@arcanal13 buena la ""pará de carro"" del cura berríos. la tonka que no defienda lo indefendible. el cura tiene razón. ",None
rt @rockandpopfm: importante: emol publicó un estado actualizado de los servicios básicos (agu,None
rt @infozeus: rt @programantn: por favor alguien sabe algo mas del accidente del avio,None
@jano_avila los chilenos somos un pueblo heroíc,None
@tvn24horas que está pasando en temuco con las replica,None
espero que no se vaya a pronosticari mas,None
@tvn_mauricio  #temuco se recibe ayuda para llenar camión que va a dichato mañana. los castaños 90 esq fco salaza,None
rt @elnacionalweb embajador de chile en venezuela: ayuda humanitaria llegará en las próximas horas a las zonas afectadas,None
@tvn24h en un sector de maipú está lloviendo. bastante extraño.,None
sector poniente sale muy poquita agua,Agua
@pelotasdecarey que le paso?,None
rt @allantar: los que se robaron plasmas los quiero ver cagaos de hambre #terremotochile,Seguridad
busco a cristina chamorro molina 2 hijos de viÑa del mar que esta en hualpen,Personas
rt @cooperativa: los teléfonos de emergencia son el 568 129,None
precauciÓn: semaforo de concha y toro con gabriela (pte alto) no esta funcionando,None
"rt @juanjosemolina ""la libertad política es requisito previo para el desarrollo económico y cambios en la sociedad"" ",None
@tvn_mauricio estoy buscando a pascale polette y macarena guzman que estaban ayer en hiloca antes del tsunami y no sabemos nada de ellas,Personas
mañan a trabajar y cuantificar los daños del museo,None
telefonos de emergencia en chile se pide que se retwiteen 568 1290/ 568 1295 #terremotochile,None
cauquenes 85 fallecido,Comunicación
juanelo y el terremoto de chile http://twitpic.com/15xxf4 (para mas informacion http://www.juanelo.cl/,None
rt @atobarc: alguien q tome contacto con marinos de talcahuano..  #busco a rodolfo esteban gonzalez gonzalez... es parte de la artilleria-,Personas
rt @love_colours: rt @darthjam: oe dejen de ocupar el ancho de banda en el @snscafe pueeeeee hay gente que queremos ayudar,None
rt @golem4: importante: info oficial sobre carreteras: http://bit.ly/9wmtlt xfa rt @carolafuentes @jumastorga @cfsoto @sibekay @ivanvale ...,None
alguien tiene información de lot,None
en pudahuel y cerro navia aun sin lu,Electricidad
timeline de los terremotos mas fuertes en la historia: http://ow.ly/1cuwl,None
quiero comer torta helada...o una selva negra... quien se va a solidarizar conmigo? :(,None
@diegogle tienes link? d: a mi me contaron no mas :/,None
@tvn_mauricio cÓmo saben de la realidad de ayuda los periodistas si no se mueven del edificio de concepcio,None
rt @rauldemolina: dentro del hotl donde se encontrban los artistas minutos despues del terremoto hoy en gyf  4pm 3centro,None
@gcorvalan no es para menos... debemos ayudar al país #fuerzachile http://potq.cl/terremoto/,None
rt @rsiderakis: para quienes necesitan viajar google maps entrega detalles de las rutas http://bit.ly/dbazay,None
rt @gseriche: rt @nicolenatalino: manana aguas andinas corta el agua...junten / via @campunknita // esto es donde? santiago ??,Agua
@cristian_pg bro conoces gente en bulnes? hay una familia q me piden ubicar: oscar sepulveda-margarita oyarzun...,Personas
entrevista exclusiva con un testigo del terremoto chileno http://bit.ly/dljfxd,None
acabo de  hablar telefónicamente con cristobal jeldez #encontrada #terremotochile está en puerto saavedra en albergue ayuda para esa zona rt,Personas
rt @rayodeplata: @soledadonetto por favor sole pídanle a sus periodistas que vayan a peuño-playa la sirena (justo al sur de #curanipe),None
rt @tommytrueno: rt los jobros vuelven a latino améric,None
escuchando a los tres :b ella es mi nena nena u266b,None
arrestar a delincuentes y obligarlos a trabajos forzados en zona de desastre.mensaje para nuevo gobierno,Seguridad
muestren el incendio en conc,Seguridad
se acaba de caer esta tienda a las personas que se encuentran transitando cuidado http://url.ie/58eo,None
rt @joonasbrothers_: @fabriziocopano busco a jose rocco guzman y a su esposa en rancagua #buscapersonas,None
27 camiones aljibe,None
preguntándome qué tanto de la inseguridad en el sur es real y qué tanto es miedo inducido por la desinformación o el alarmismo.,None
#terremotochile #concepcion se esta derumbando edificio incendiado en conce y se cree que hay bombero dentro en vivo 13.cl,Seguridad
rt @rmoreno: rt @manuchat @consueloedwards: cómo no se entiende que se necesita ayuda! no mas delincuencia ni saqueos! gobierno tomar ac ...,Seguridad
@yosoyallendista no sean ridículos,None
@gviscarra  suerte! ...nos hablamos!,None
concepcion ya es una ciudad sin ley. el gobierno debe tomar medidas drasticas! el vandalismo es extremo y no se esta haciendo nada!! #chile,Seguridad
"rt @alertanews: rt @reuters_mexico: rescatistas mexicanos ""topos"" están listos para viajar a chile http://link.reuters.com/xan92j ",None
qué pasa con las decisiones de gobierno!!! actúen rápido. estado de sitio en concepción. ayuden a las familias a dormir tranquilas!,Seguridad
dp de 3 intentos de dar vuelta ls panqueques me rend,None
@tvn_monicar la tienda la polar esta en lincoyan esquina freir,None
http://twitpic.com/16264y - 14 semanas,None
voluntarios disponibles para partir a las regiones 7ma y 8va a construir viviendas de emergenci,None
@ornitorrincus fijate cuando estes en caída por la rampa de sostenerte bien fuerte para no terminar ezquizofrénico... suerte.,None
rt @ivanhuman: cuidado sobre avisos de comida gratis algunas son falsas es para que salgan de sus casas y les roben lo escuche en tele13 ...,None
teleton por chile!! este viernes! http://bit.ly/9rvnok,None
#buscapersonas @cnnchile  busco a patricia lorca aranda y/o catalina oyarzun lorca en san pedro de la pa,Personas
actualidades: comparativos y superlativos: los terremotos de chile y haití http://bit.ly/cf3dzy,None
rt: @nathanpincheira a los saqueadores de casas: bala #terremotochile // apoyando la mocion #fb,Seguridad
que mal lo de los terremotos...un abrazo solidario a los que aún no tienen noticias de sus familiares,None
rt @tvn24h: utilidad pÚblica: sobreconsumo de agua afecta suministro. moderar consumo de luz también.,Agua
estimada presidenta! conce necesita seguridad! haga algo!,None
rt @cutyfar: rt si eres fan de los jonas para agregarte a la listaaa,None
rt @robegonzal: donación de sangre: hospital militar y posta central no reciben mÁs donantes de sangre corran la voz #terremotochile,None
rt @butckus: encontraron n curanipe a 80 personas con vida en albergues. por favor difundan lista http://is.gd/9sto9 #rptw,None
chile: china impide a escritor viajar a feria del libro de colonia http://www.entornointeligente.com/tw.php?i=1017080 #entornointeligente,None
rt @tele13online: onemi entrega nueva cifra oficial: 723 muertos tras terremoto: http://bit.ly/aqooos,None
rt @kangrejo: señores de @ejercito_chile por chv avisan que estan atacando los cuarteles de bomberos en conc,Seguridad
acciones de inmobiliaria paz se desploman en la bolsa http://economia.terra.cl/noticias/noticia.aspx?idnoticia=201003011322_inv_78789499,None
@josenidquintero terra captó el temblor en viña. http://mundospotproducciones.blogspot.com/2010/03/shakira-preocupada-por-chile.html,None
rt @crienci: @bianchileiton urgente bianchi por favor avisa tratan de saquear casas en larapinta lamp,Seguridad
ea!!! cnn chile puede verse por http://www.ustream.tv/channel/lordnetcm ... por fin!! rt plis para quienes no tengan acceso.,None
rt @victoriaktalina: @reportwiteros #buscapersonas por favor informacion de carla morales meza que esta en talcahuano,Personas
no me entra el blog de la tele .__.,None
no hay bencina en conce por lo que las personas no pueden ir a ciudades cercanas....,None
actividades protocolares de copa davis entre chie e israel fueron suspendidas: ,None
rt @pablozunigatele: coincido con felipe bianch,None
@sesnaola http://www.emol.com/noticias/nacional/detalle/detallenoticias.asp?idnoticia=401059 fijate,None
min defensa: mañana se trasladan a concepción un batallón de paracaidistas y dos agrupaciones de fuerzas especiales total 250 hombres.,None
rt @cerazo: a la salida de lamp,None
rt @paloola: urgente en constitución apareció ivan lara de 8 aÑos que estÁ solo en esa ciudad...busca parientes en todo chile,Personas
rt @mega_cl: una historia marcada por fuertes sismos y desgracias impactantes http://www.mega.cl/megagaleria/videos/videos.aspx?idvideo= ...,None
no me cabe en la mente como existe gente tan rata q no le basta con robar supermercados y quemar tienda,Seguridad
@misterplix yo creo que esta vara si se va acabar al chil,None
@13ar un llamado a los chilenos a colaborar en la misión de ayuda sin entorpecer las labores del estado y de personal volanturio..no+saqueos,None
rt @nachx: desde argentina viene un contingente de 50 médicos. gracias hermanos argentinos! #terremotochile,None
@tvn24h es cierto que en estacion central cortaran el agua hoy en la noche??,Agua
@j_pietrasanta jajajaja si como no?guacala de birria las cabra,None
@copano porfa avisa que hoy en copiapo nos juntamos en la plaza para ver las formas de ayudar,None
alguien sabe si funcionan los cajeros automáticos en #valdivia,None
@fernandopaulsen parroquia natividad del señor en la reina está aceptando ayuda,None
rt @dsettipani: rt @oasica: cadena de oracion hoy a las 00: 00 am por todos los fallecido,None
pensando en que el mundo no se esta acabando... lo estamos acabando... en chile les estan dando solución y siguen saqueando #terremotochile,None
@cooperativa alguna informacion sobre el funcionamiento del poder judicia,None
voy a hacer letras que formen justin bieber y las voy a pegar en la pared ..grosa(¿?,None
para mis nuevos followers bienvenidos muchas gracias y #conciencia por #fuerzachile #solidaridadchile,None
"rt @anyuu94: @tipicojonasfans que te enojes cuando alguien te dice ""para mi nunca cumplieron su promesa de ser virgenes hasta el matrimo ... ",None
rt @alevb: rt si amas a taylor swift :) y quieres estar en mi lista :d,None
@heeyjulieet si...y mi mama m esta diciendo q busq el uniforme ii no c donde esta =),None
compilado con informacion de que como y donde ayudar!!! rt http://twurl.nl/ba7vha #terremotochile,None
rt @mysecretcrush: @tipicojonasfans que tu mama ya no se sobresalte cuando le gritas a la tele xd,None
llegué a casa y me acordé de la superproducción cubana. en estos momentos los migs cubanos acaban de exterminar a un francotirador angoles.,None
los santiaguinos no tienen excusas para robar. qué vergüenza,Seguridad
rt @falfero: @cruzrojainforma mapa para ayudar y donar sangre  http://bit.ly/ceope5,None
por favor a solidarizar y a entregar toda la información posible mediante redes sociales #terremotochile,None
el gobierno desea tapar el sol con un ded,None
fuerza chile gracias a dios estamos todos bien,None
un pequeño vide ....el instante en que sucedió el terremoto,None
quero narguileeeee...de melancia =b,None
@paolaberlin gracias.... noticia de chicureo???,Comunicación
@cartesfabian queda amarillo cuando me hblan a mi :d,None
me fui a editaaar esas fotos de joe y nick en rambo 45(?,None
rt @mgsubercaseaux: rt @cruzjarvis: @mgsubercaseaux a todos! en la udd san carlos necesitamos camiÓn para llevar las donaciones. quiÉn s ...,None
en una pagina dice que uno puede donar sangra con autorización de los padres (menores de edad) me gustaría ir *-*,None
parece que a la muni le afecto hasta la web el terremoto... www.rancagua.cl,None
@psicogestalt fui hace 6 meses.  lo 1ro q dijeron los guías al llegar a #chile? aquí hay pequeños temblores casi a diario.,None
@soledadonetto carladaniela86 lechería sin luz no puede mantener leche. necesito camión de acero inoxidable para donarla. 4mil litros.,Electricidad
@tipsdeviajero ya regrese de linares tenias razon no hay nada.. mas que el centro y el hotel. deverian de hacer algo diferente al turismo.,None
existen localidades en la sexta region a las cuales aun no llega ayuda,None
@itsbaarbi ah i ahi hay luz ^^ aun falta la replica mas fuerte q tiene k ser cmo la del terremoto q atroz no se q pasara cn la gente u.u,None
rt @gonolipa: amigos favor retwittear y si pueden publicarla en los grupos de facebook http://galeon.com/chancoayuda/index.htm (informac ...,None
rt @felipeavello: necesito información sobre mio tio reinaldo suazo y su familia de lota bajo.,Personas
me acaban de decir que hubo un temblor desde victoria hasta chilo,None
bachelet asegura a medios extranjeros que 1ra noticia de un tsunami la tuvo sólo pocos minutos antes de las 5 de la mañana. | inexplicable.,None
"rt @mgsubercaseaux: rt @la_segunda: sobreviviente de edificio en concepción: ""sólo pude abrazar a mis hijo ",None
rt @biobiodeportes: rt @fransolar: encontraron en curanipe a 80 personas con vida en albergues. aqui está la list,None
me quede tildada viendo mi icono :|,None
@yamijones ahora te envio en un dm unos brownies antes de que se acaben(??),None
